Sales Person;Geography;Product;Date;Amount;Customers;Boxes
Gunar Cockshoot;New Zealand;White Choc;22/01/2021;2 849,00 €;156;345
Madelene Upcott;New Zealand;50% Dark Bites;22/01/2021;1 519,00 €;97;188
Karlen McCaffrey;New Zealand;50% Dark Bites;22/01/2021;1 106,00 €;199;438
Beverie Moffet;Australia;Milk Bars;22/01/2021;2 695,00 €;153;524
Dennison Crosswaite;USA;Milk Bars;22/01/2021;3 108,00 €;23;717
Brien Boise;Canada;Milk Bars;22/01/2021;3 115,00 €;561;243
Dennison Crosswaite;New Zealand;50% Dark Bites;22/01/2021;2 471,00 €;63;163
Oby Sorrel;Canada;White Choc;22/01/2021;5 817,00 €;45;365
Dennison Crosswaite;India;Manuka Honey Choco;22/01/2021;1 309,00 €;152;514
Rafaelita Blaksland;USA;Almond Choco;22/01/2021;5 768,00 €;182;98
Brien Boise;New Zealand;Spicy Special Slims;22/01/2021;2 681,00 €;199;117
Dennison Crosswaite;USA;Almond Choco;22/01/2021;3 661,00 €;139;228
Barr Faughny;New Zealand;Caramel Stuffed Bars;22/01/2021;3 290,00 €;47;6
Ches Bonnell;USA;85% Dark Bars;22/01/2021;8 428,00 €;121;17
Brien Boise;USA;Baker's Choco Chips;22/01/2021;2 044,00 €;188;31
Kelci Walkden;Canada;Manuka Honey Choco;25/01/2021;2 219,00 €;71;320
Ches Bonnell;Canada;Spicy Special Slims;25/01/2021;4 473,00 €;197;202
Dennison Crosswaite;UK;Fruit & Nut Bars;25/01/2021;2 086,00 €;212;410
Beverie Moffet;New Zealand;Drinking Coco;25/01/2021;2 618,00 €;69;128
Beverie Moffet;Canada;Almond Choco;25/01/2021;7 630,00 €;171;276
Karlen McCaffrey;USA;Fruit & Nut Bars;25/01/2021;7 910,00 €;428;480
Madelene Upcott;UK;Spicy Special Slims;25/01/2021;7 882,00 €;203;103
Husein Augar;Australia;Orange Choco;25/01/2021;2 940,00 €;228;573
Ches Bonnell;UK;70% Dark Bites;25/01/2021;3 192,00 €;110;572
Marney O'Breen;USA;Spicy Special Slims;25/01/2021;3 465,00 €;66;42
Beverie Moffet;UK;Caramel Stuffed Bars;25/01/2021;4 410,00 €;119;88
Ches Bonnell;Australia;White Choc;25/01/2021;5 397,00 €;104;301
Beverie Moffet;Canada;After Nines;25/01/2021;4 928,00 €;212;222
Brien Boise;Canada;Manuka Honey Choco;25/01/2021;7 987,00 €;156;49
Dennison Crosswaite;India;Baker's Choco Chips;25/01/2021;3 710,00 €;224;6
Andria Kimpton;Australia;Orange Choco;25/01/2021;4 620,00 €;32;105
Madelene Upcott;Australia;Orange Choco;25/01/2021;441,00 €;205;10
Oby Sorrel;New Zealand;Caramel Stuffed Bars;25/01/2021;6 601,00 €;8;20
Jan Morforth;India;Peanut Butter Cubes;25/01/2021;7 896,00 €;32;85
Brien Boise;USA;Drinking Coco;25/01/2021;812,00 €;140;602
Andria Kimpton;UK;50% Dark Bites;25/01/2021;2 219,00 €;30;472
Ches Bonnell;UK;Almond Choco;25/01/2021;4 886,00 €;82;173
Ches Bonnell;New Zealand;85% Dark Bars;25/01/2021;7 644,00 €;86;133
Wilone O'Kielt;UK;70% Dark Bites;25/01/2021;4 410,00 €;289;248
Husein Augar;New Zealand;Organic Choco Syrup;25/01/2021;7 728,00 €;380;269
Oby Sorrel;USA;Almond Choco;25/01/2021;4 739,00 €;222;124
Marney O'Breen;India;Smooth Sliky Salty;25/01/2021;2 205,00 €;30;305
Barr Faughny;India;Milk Bars;25/01/2021;1 547,00 €;17;251
Wilone O'Kielt;UK;Mint Chip Choco;26/01/2021;1 204,00 €;64;22
Curtice Advani;UK;Mint Chip Choco;26/01/2021;7 084,00 €;367;65
Karlen McCaffrey;USA;Drinking Coco;26/01/2021;3 157,00 €;7;106
Brien Boise;India;Orange Choco;26/01/2021;525,00 €;112;187
Madelene Upcott;UK;Orange Choco;26/01/2021;1 113,00 €;262;106
Ches Bonnell;India;Baker's Choco Chips;26/01/2021;2 898,00 €;140;113
Husein Augar;New Zealand;Smooth Sliky Salty;26/01/2021;5 495,00 €;34;255
Wilone O'Kielt;UK;White Choc;26/01/2021;1 414,00 €;155;590
Dotty Strutley;Australia;Manuka Honey Choco;26/01/2021;1 372,00 €;345;166
Jan Morforth;Australia;85% Dark Bars;27/01/2021;5 299,00 €;60;168
Madelene Upcott;Australia;Drinking Coco;27/01/2021;1 673,00 €;81;157
Kelci Walkden;India;After Nines;27/01/2021;4 956,00 €;98;548
Oby Sorrel;New Zealand;Drinking Coco;27/01/2021;3 745,00 €;146;254
Dennison Crosswaite;USA;Eclairs;27/01/2021;49,00 €;6;192
Brien Boise;India;Manuka Honey Choco;27/01/2021;3 997,00 €;113;299
Husein Augar;Canada;85% Dark Bars;27/01/2021;6 279,00 €;54;177
Marney O'Breen;Australia;Peanut Butter Cubes;27/01/2021;3 346,00 €;224;449
Dotty Strutley;Canada;White Choc;28/01/2021;434,00 €;46;10
Gigi Bohling;India;Spicy Special Slims;28/01/2021;2 051,00 €;268;13
Kelci Walkden;New Zealand;Caramel Stuffed Bars;28/01/2021;7 350,00 €;320;176
Dennison Crosswaite;Canada;Choco Coated Almonds;28/01/2021;3 752,00 €;73;232
Madelene Upcott;Canada;Smooth Sliky Salty;28/01/2021;6 139,00 €;83;54
Barr Faughny;India;85% Dark Bars;28/01/2021;896,00 €;96;130
Brien Boise;India;Choco Coated Almonds;28/01/2021;1 750,00 €;143;110
Marney O'Breen;Australia;Choco Coated Almonds;28/01/2021;2 093,00 €;66;346
Rafaelita Blaksland;UK;After Nines;28/01/2021;1 197,00 €;168;72
Madelene Upcott;Canada;Manuka Honey Choco;28/01/2021;2 968,00 €;210;398
Brien Boise;Australia;Organic Choco Syrup;28/01/2021;10 759,00 €;402;187
Gunar Cockshoot;Canada;85% Dark Bars;28/01/2021;2 191,00 €;367;1167
Kaine Padly;UK;Smooth Sliky Salty;28/01/2021;2 555,00 €;234;12
Husein Augar;New Zealand;70% Dark Bites;28/01/2021;2 394,00 €;147;329
Dotty Strutley;Australia;Eclairs;28/01/2021;2 450,00 €;231;150
Kaine Padly;India;Organic Choco Syrup;28/01/2021;9 170,00 €;186;223
Oby Sorrel;Australia;After Nines;28/01/2021;2 296,00 €;279;171
Barr Faughny;Australia;Mint Chip Choco;28/01/2021;721,00 €;52;479
Curtice Advani;Australia;Peanut Butter Cubes;28/01/2021;10 080,00 €;200;48
Dennison Crosswaite;USA;After Nines;28/01/2021;294,00 €;332;398
Andria Kimpton;Australia;White Choc;29/01/2021;1 512,00 €;82;107
Gigi Bohling;USA;Eclairs;29/01/2021;6 706,00 €;94;126
Dennison Crosswaite;Australia;Fruit & Nut Bars;29/01/2021;6 853,00 €;91;61
Husein Augar;UK;Organic Choco Syrup;29/01/2021;630,00 €;309;515
Rafaelita Blaksland;Australia;Organic Choco Syrup;29/01/2021;12 999,00 €;364;74
Ches Bonnell;Australia;Baker's Choco Chips;29/01/2021;1 330,00 €;230;344
Wilone O'Kielt;USA;Mint Chip Choco;29/01/2021;5 383,00 €;37;49
Ches Bonnell;Australia;Peanut Butter Cubes;29/01/2021;735,00 €;250;153
Oby Sorrel;New Zealand;Eclairs;29/01/2021;3 598,00 €;33;74
Gunar Cockshoot;UK;50% Dark Bites;29/01/2021;2 478,00 €;37;16
Dennison Crosswaite;UK;Peanut Butter Cubes;29/01/2021;3 276,00 €;167;5
Karlen McCaffrey;Australia;Mint Chip Choco;29/01/2021;5 047,00 €;23;2
Kelci Walkden;Canada;Baker's Choco Chips;29/01/2021;5 775,00 €;110;41
Ches Bonnell;USA;Almond Choco;29/01/2021;1 232,00 €;302;411
Curtice Advani;New Zealand;Drinking Coco;29/01/2021;5 754,00 €;66;4
Beverie Moffet;New Zealand;Baker's Choco Chips;29/01/2021;399,00 €;374;459
Jan Morforth;Canada;99% Dark & Pure;29/01/2021;5 775,00 €;108;126
Brien Boise;Australia;Orange Choco;29/01/2021;1 547,00 €;304;231
Husein Augar;UK;Manuka Honey Choco;29/01/2021;5 383,00 €;140;9
Karlen McCaffrey;UK;Manuka Honey Choco;29/01/2021;1 162,00 €;104;182
Barr Faughny;India;Manuka Honey Choco;29/01/2021;3 423,00 €;94;434
Gigi Bohling;Canada;Fruit & Nut Bars;29/01/2021;3 395,00 €;127;209
Dotty Strutley;New Zealand;50% Dark Bites;29/01/2021;322,00 €;258;72
Beverie Moffet;UK;Eclairs;29/01/2021;5 719,00 €;52;199
Gunar Cockshoot;USA;Orange Choco;01/02/2021;12 824,00 €;117;5
Husein Augar;New Zealand;After Nines;01/02/2021;2 177,00 €;66;14
Kelci Walkden;Canada;White Choc;01/02/2021;1 673,00 €;155;577
Kelci Walkden;India;Milk Bars;01/02/2021;1 260,00 €;5;238
Curtice Advani;USA;Almond Choco;01/02/2021;1 596,00 €;118;74
Andria Kimpton;New Zealand;50% Dark Bites;01/02/2021;4 949,00 €;98;122
Beverie Moffet;Canada;Caramel Stuffed Bars;01/02/2021;5 950,00 €;216;218
Kaine Padly;New Zealand;Orange Choco;01/02/2021;1 876,00 €;318;339
Gigi Bohling;Australia;85% Dark Bars;01/02/2021;1 708,00 €;61;220
Beverie Moffet;Canada;Choco Coated Almonds;01/02/2021;5 628,00 €;71;434
Wilone O'Kielt;Canada;Peanut Butter Cubes;01/02/2021;7 133,00 €;105;441
Gunar Cockshoot;UK;Milk Bars;01/02/2021;854,00 €;243;18
Marney O'Breen;India;Raspberry Choco;01/02/2021;4 837,00 €;105;77
Brien Boise;India;Spicy Special Slims;01/02/2021;3 241,00 €;118;448
Wilone O'Kielt;Australia;Organic Choco Syrup;01/02/2021;14,00 €;116;129
Marney O'Breen;USA;Fruit & Nut Bars;01/02/2021;2 982,00 €;71;781
Dotty Strutley;Canada;Choco Coated Almonds;01/02/2021;1 120,00 €;6;262
Dotty Strutley;USA;Caramel Stuffed Bars;01/02/2021;1 575,00 €;18;720
Ches Bonnell;New Zealand;White Choc;01/02/2021;182,00 €;237;23
Dotty Strutley;Canada;Raspberry Choco;01/02/2021;1 113,00 €;22;35
Marney O'Breen;India;Peanut Butter Cubes;01/02/2021;4 613,00 €;28;170
Wilone O'Kielt;UK;Caramel Stuffed Bars;01/02/2021;882,00 €;472;209
Rafaelita Blaksland;UK;Organic Choco Syrup;01/02/2021;693,00 €;53;9
Beverie Moffet;New Zealand;After Nines;01/02/2021;3 556,00 €;30;24
Rafaelita Blaksland;USA;Organic Choco Syrup;01/02/2021;49,00 €;4;245
Dotty Strutley;India;Almond Choco;01/02/2021;8 288,00 €;55;185
Kelci Walkden;UK;Baker's Choco Chips;01/02/2021;1 197,00 €;83;379
Curtice Advani;Canada;Fruit & Nut Bars;02/02/2021;5 992,00 €;56;306
Madelene Upcott;USA;After Nines;02/02/2021;903,00 €;379;238
Rafaelita Blaksland;Australia;Drinking Coco;02/02/2021;3 941,00 €;68;663
Marney O'Breen;New Zealand;Organic Choco Syrup;02/02/2021;3 024,00 €;96;175
Beverie Moffet;Canada;Raspberry Choco;02/02/2021;91,00 €;191;595
Andria Kimpton;India;Milk Bars;02/02/2021;1 085,00 €;423;458
Husein Augar;Australia;Mint Chip Choco;02/02/2021;2 905,00 €;82;25
Curtice Advani;USA;Spicy Special Slims;02/02/2021;5 586,00 €;73;303
Dennison Crosswaite;USA;Mint Chip Choco;02/02/2021;5 306,00 €;321;390
Ches Bonnell;UK;Raspberry Choco;02/02/2021;2 877,00 €;169;249
Wilone O'Kielt;USA;99% Dark & Pure;02/02/2021;490,00 €;128;99
Rafaelita Blaksland;New Zealand;85% Dark Bars;02/02/2021;2 212,00 €;25;11
Gigi Bohling;UK;Eclairs;02/02/2021;3 885,00 €;263;102
Dennison Crosswaite;Australia;99% Dark & Pure;02/02/2021;5 992,00 €;248;263
Rafaelita Blaksland;New Zealand;Orange Choco;02/02/2021;140,00 €;62;150
Beverie Moffet;UK;Choco Coated Almonds;02/02/2021;3 913,00 €;458;12
Madelene Upcott;UK;Manuka Honey Choco;02/02/2021;2 373,00 €;94;426
Rafaelita Blaksland;Canada;Drinking Coco;02/02/2021;5 054,00 €;274;124
Madelene Upcott;India;Baker's Choco Chips;02/02/2021;1 652,00 €;149;49
Wilone O'Kielt;UK;Milk Bars;02/02/2021;2 947,00 €;35;42
Wilone O'Kielt;UK;Choco Coated Almonds;03/02/2021;2 128,00 €;221;235
Kaine Padly;USA;Spicy Special Slims;03/02/2021;2 716,00 €;101;97
Oby Sorrel;India;Fruit & Nut Bars;03/02/2021;392,00 €;4;64
Barr Faughny;India;70% Dark Bites;03/02/2021;1 148,00 €;265;318
Rafaelita Blaksland;Canada;85% Dark Bars;03/02/2021;9 632,00 €;407;760
Jan Morforth;UK;Peanut Butter Cubes;03/02/2021;3 983,00 €;125;290
Brien Boise;Australia;After Nines;03/02/2021;476,00 €;230;458
Curtice Advani;India;Eclairs;03/02/2021;6 783,00 €;149;246
Kaine Padly;Canada;Baker's Choco Chips;03/02/2021;9 233,00 €;102;119
Barr Faughny;UK;85% Dark Bars;03/02/2021;12 222,00 €;426;180
Barr Faughny;New Zealand;Mint Chip Choco;03/02/2021;5 397,00 €;29;70
Wilone O'Kielt;UK;Peanut Butter Cubes;03/02/2021;4 830,00 €;171;284
Barr Faughny;India;Choco Coated Almonds;03/02/2021;5 845,00 €;105;358
Karlen McCaffrey;Canada;Baker's Choco Chips;03/02/2021;1 113,00 €;41;23
Kaine Padly;USA;Caramel Stuffed Bars;03/02/2021;672,00 €;371;671
Gigi Bohling;Australia;Spicy Special Slims;04/02/2021;1 442,00 €;68;454
Gigi Bohling;New Zealand;After Nines;04/02/2021;8 050,00 €;350;170
Beverie Moffet;UK;Fruit & Nut Bars;04/02/2021;6 419,00 €;52;198
Kaine Padly;New Zealand;Almond Choco;04/02/2021;5 516,00 €;189;20
Wilone O'Kielt;UK;Almond Choco;04/02/2021;6 685,00 €;249;825
Brien Boise;Canada;Orange Choco;04/02/2021;1 120,00 €;10;152
Andria Kimpton;Australia;After Nines;04/02/2021;5 936,00 €;3;268
Dennison Crosswaite;Australia;Spicy Special Slims;04/02/2021;5 789,00 €;95;305
Dotty Strutley;Canada;99% Dark & Pure;04/02/2021;4 130,00 €;37;63
Oby Sorrel;Canada;Smooth Sliky Salty;04/02/2021;343,00 €;577;165
Gigi Bohling;UK;After Nines;04/02/2021;6 230,00 €;140;46
Brien Boise;UK;Manuka Honey Choco;04/02/2021;231,00 €;11;230
Gunar Cockshoot;India;Fruit & Nut Bars;04/02/2021;7 518,00 €;225;97
Karlen McCaffrey;New Zealand;Smooth Sliky Salty;04/02/2021;7 091,00 €;252;337
Gigi Bohling;Canada;Manuka Honey Choco;04/02/2021;1 267,00 €;101;318
Ches Bonnell;New Zealand;Eclairs;04/02/2021;3 213,00 €;211;308
Ches Bonnell;India;Spicy Special Slims;04/02/2021;3 255,00 €;19;322
Gigi Bohling;India;Raspberry Choco;04/02/2021;13 398,00 €;217;268
Karlen McCaffrey;UK;Smooth Sliky Salty;04/02/2021;2 275,00 €;74;188
Gunar Cockshoot;Canada;Choco Coated Almonds;04/02/2021;2 779,00 €;547;321
Barr Faughny;USA;Smooth Sliky Salty;04/02/2021;427,00 €;188;129
Kelci Walkden;New Zealand;Mint Chip Choco;04/02/2021;2 037,00 €;293;31
Kelci Walkden;USA;Fruit & Nut Bars;04/02/2021;2 576,00 €;45;253
Kaine Padly;Canada;Spicy Special Slims;04/02/2021;3 948,00 €;284;168
Madelene Upcott;UK;85% Dark Bars;04/02/2021;1 386,00 €;280;413
Curtice Advani;Australia;Spicy Special Slims;04/02/2021;3 724,00 €;161;431
Dotty Strutley;UK;Raspberry Choco;04/02/2021;2 177,00 €;128;219
Oby Sorrel;Canada;Manuka Honey Choco;04/02/2021;6 531,00 €;272;373
Dennison Crosswaite;UK;85% Dark Bars;04/02/2021;714,00 €;174;88
Husein Augar;Canada;Orange Choco;04/02/2021;616,00 €;156;338
Oby Sorrel;Canada;Baker's Choco Chips;04/02/2021;11 144,00 €;306;127
Karlen McCaffrey;UK;Fruit & Nut Bars;04/02/2021;5 544,00 €;96;175
Rafaelita Blaksland;Australia;Eclairs;04/02/2021;2 611,00 €;118;24
Gunar Cockshoot;India;99% Dark & Pure;04/02/2021;6 041,00 €;194;22
Andria Kimpton;India;After Nines;04/02/2021;441,00 €;46;545
Jan Morforth;USA;Spicy Special Slims;04/02/2021;3 948,00 €;11;308
Karlen McCaffrey;New Zealand;99% Dark & Pure;04/02/2021;301,00 €;100;258
Gunar Cockshoot;UK;Almond Choco;04/02/2021;1 414,00 €;1;148
Beverie Moffet;New Zealand;Mint Chip Choco;05/02/2021;4 900,00 €;147;53
Gunar Cockshoot;USA;Spicy Special Slims;05/02/2021;9 485,00 €;168;52
Husein Augar;USA;Caramel Stuffed Bars;05/02/2021;2 100,00 €;201;227
Kelci Walkden;UK;Manuka Honey Choco;05/02/2021;2 863,00 €;52;22
Husein Augar;Australia;85% Dark Bars;05/02/2021;6 272,00 €;183;131
Barr Faughny;Australia;Caramel Stuffed Bars;05/02/2021;5 327,00 €;128;16
Marney O'Breen;UK;Almond Choco;05/02/2021;644,00 €;325;25
Oby Sorrel;New Zealand;50% Dark Bites;05/02/2021;2 191,00 €;208;474
Gigi Bohling;India;Almond Choco;05/02/2021;280,00 €;186;564
Ches Bonnell;India;Manuka Honey Choco;05/02/2021;5 509,00 €;181;66
Karlen McCaffrey;New Zealand;Caramel Stuffed Bars;08/02/2021;301,00 €;24;305
Oby Sorrel;UK;White Choc;08/02/2021;5 068,00 €;136;318
Kelci Walkden;New Zealand;Organic Choco Syrup;08/02/2021;2 709,00 €;261;39
Rafaelita Blaksland;UK;White Choc;08/02/2021;2 737,00 €;154;40
Beverie Moffet;Canada;Drinking Coco;08/02/2021;4 648,00 €;141;104
Jan Morforth;India;70% Dark Bites;08/02/2021;8 764,00 €;109;262
Wilone O'Kielt;USA;Caramel Stuffed Bars;08/02/2021;5 145,00 €;49;376
Oby Sorrel;Canada;Milk Bars;08/02/2021;1 918,00 €;57;390
Marney O'Breen;Australia;70% Dark Bites;08/02/2021;4 396,00 €;223;674
Ches Bonnell;Australia;Fruit & Nut Bars;08/02/2021;7 420,00 €;281;83
Barr Faughny;New Zealand;Fruit & Nut Bars;08/02/2021;5 292,00 €;106;500
Gigi Bohling;Canada;Smooth Sliky Salty;08/02/2021;3 787,00 €;348;236
Oby Sorrel;USA;Mint Chip Choco;09/02/2021;686,00 €;241;261
Karlen McCaffrey;USA;Eclairs;09/02/2021;10 647,00 €;217;185
Jan Morforth;Australia;Raspberry Choco;09/02/2021;1 890,00 €;64;93
Rafaelita Blaksland;USA;Raspberry Choco;09/02/2021;1 162,00 €;12;38
Andria Kimpton;USA;Organic Choco Syrup;10/02/2021;5 194,00 €;9;29
Gigi Bohling;India;Peanut Butter Cubes;10/02/2021;4 424,00 €;15;320
Andria Kimpton;India;70% Dark Bites;10/02/2021;2 303,00 €;22;260
Kaine Padly;Australia;Spicy Special Slims;10/02/2021;1 876,00 €;191;12
Marney O'Breen;New Zealand;Raspberry Choco;10/02/2021;294,00 €;311;717
Wilone O'Kielt;New Zealand;After Nines;10/02/2021;756,00 €;117;121
Madelene Upcott;India;Spicy Special Slims;10/02/2021;2 359,00 €;152;105
Oby Sorrel;UK;Smooth Sliky Salty;10/02/2021;511,00 €;237;407
Kelci Walkden;New Zealand;99% Dark & Pure;10/02/2021;9 051,00 €;383;683
Marney O'Breen;USA;99% Dark & Pure;10/02/2021;1 540,00 €;299;101
Dotty Strutley;UK;70% Dark Bites;10/02/2021;3 738,00 €;230;145
Kelci Walkden;UK;After Nines;10/02/2021;1 232,00 €;35;119
Jan Morforth;New Zealand;Mint Chip Choco;10/02/2021;462,00 €;89;145
Oby Sorrel;UK;Caramel Stuffed Bars;10/02/2021;5 229,00 €;138;393
Madelene Upcott;UK;Peanut Butter Cubes;10/02/2021;1 841,00 €;544;344
Beverie Moffet;India;Milk Bars;10/02/2021;8 456,00 €;191;931
Barr Faughny;India;Orange Choco;10/02/2021;1 631,00 €;137;140
Wilone O'Kielt;USA;White Choc;10/02/2021;2 205,00 €;114;265
Barr Faughny;Canada;Drinking Coco;10/02/2021;637,00 €;172;219
Kaine Padly;Australia;70% Dark Bites;10/02/2021;8 925,00 €;337;5
Gunar Cockshoot;India;Baker's Choco Chips;10/02/2021;511,00 €;116;249
Brien Boise;UK;Spicy Special Slims;10/02/2021;1 750,00 €;117;196
Andria Kimpton;USA;Fruit & Nut Bars;10/02/2021;4 571,00 €;117;31
Kaine Padly;USA;Drinking Coco;10/02/2021;4 536,00 €;250;60
Curtice Advani;Canada;Baker's Choco Chips;10/02/2021;8 078,00 €;17;248
Curtice Advani;Canada;50% Dark Bites;10/02/2021;6 097,00 €;55;84
Barr Faughny;India;White Choc;10/02/2021;1 743,00 €;152;452
Gunar Cockshoot;Australia;99% Dark & Pure;10/02/2021;1 575,00 €;196;145
Wilone O'Kielt;Canada;Manuka Honey Choco;10/02/2021;4 151,00 €;133;35
Gunar Cockshoot;Australia;Orange Choco;10/02/2021;2 016,00 €;79;685
Ches Bonnell;USA;Manuka Honey Choco;10/02/2021;1 540,00 €;163;212
Dennison Crosswaite;USA;85% Dark Bars;10/02/2021;5 404,00 €;430;250
Madelene Upcott;India;Peanut Butter Cubes;10/02/2021;5 453,00 €;175;38
Curtice Advani;India;Spicy Special Slims;10/02/2021;287,00 €;248;67
Madelene Upcott;Australia;Peanut Butter Cubes;10/02/2021;15 211,00 €;151;333
Ches Bonnell;UK;Choco Coated Almonds;10/02/2021;4 025,00 €;10;510
Curtice Advani;New Zealand;85% Dark Bars;11/02/2021;3 213,00 €;167;324
Kelci Walkden;India;Organic Choco Syrup;11/02/2021;2 912,00 €;235;413
Brien Boise;India;Eclairs;11/02/2021;3 549,00 €;296;165
Gigi Bohling;UK;Mint Chip Choco;11/02/2021;7 371,00 €;392;304
Marney O'Breen;New Zealand;After Nines;11/02/2021;462,00 €;274;358
Ches Bonnell;UK;Eclairs;11/02/2021;1 274,00 €;38;34
Kaine Padly;New Zealand;Drinking Coco;11/02/2021;434,00 €;36;318
Wilone O'Kielt;New Zealand;Spicy Special Slims;11/02/2021;10 059,00 €;227;834
Jan Morforth;India;Manuka Honey Choco;11/02/2021;1 995,00 €;149;392
Andria Kimpton;Canada;Mint Chip Choco;11/02/2021;1 204,00 €;594;310
Madelene Upcott;Canada;Mint Chip Choco;11/02/2021;2 429,00 €;11;504
Rafaelita Blaksland;India;Mint Chip Choco;11/02/2021;1 946,00 €;89;220
Madelene Upcott;New Zealand;Organic Choco Syrup;11/02/2021;8 708,00 €;76;247
Madelene Upcott;New Zealand;Drinking Coco;11/02/2021;2 989,00 €;232;60
Marney O'Breen;Canada;Fruit & Nut Bars;11/02/2021;8 309,00 €;516;739
Gigi Bohling;New Zealand;Caramel Stuffed Bars;11/02/2021;693,00 €;162;338
Wilone O'Kielt;USA;50% Dark Bites;11/02/2021;4 613,00 €;195;129
Husein Augar;New Zealand;Almond Choco;11/02/2021;3 479,00 €;84;419
Andria Kimpton;UK;70% Dark Bites;11/02/2021;2 954,00 €;41;170
Kelci Walkden;Canada;Drinking Coco;11/02/2021;5 348,00 €;206;60
Dotty Strutley;Canada;Baker's Choco Chips;11/02/2021;8 967,00 €;17;136
Kaine Padly;Australia;Raspberry Choco;11/02/2021;5 411,00 €;49;775
Dotty Strutley;USA;Manuka Honey Choco;11/02/2021;8 603,00 €;127;478
Dotty Strutley;Australia;Raspberry Choco;11/02/2021;6 174,00 €;72;138
Ches Bonnell;Australia;Choco Coated Almonds;11/02/2021;4 739,00 €;431;291
Beverie Moffet;New Zealand;Peanut Butter Cubes;11/02/2021;6 664,00 €;30;510
Karlen McCaffrey;New Zealand;70% Dark Bites;11/02/2021;2 758,00 €;137;83
Gunar Cockshoot;USA;Eclairs;11/02/2021;2 835,00 €;140;422
Marney O'Breen;USA;Peanut Butter Cubes;11/02/2021;3 430,00 €;433;22
Husein Augar;Australia;Almond Choco;11/02/2021;5 278,00 €;181;118
Dotty Strutley;India;White Choc;11/02/2021;805,00 €;43;50
Marney O'Breen;Australia;Orange Choco;12/02/2021;3 066,00 €;7;114
Wilone O'Kielt;USA;Raspberry Choco;12/02/2021;1 463,00 €;120;60
Karlen McCaffrey;Australia;Eclairs;12/02/2021;5 313,00 €;52;154
Gunar Cockshoot;Australia;Choco Coated Almonds;12/02/2021;8 295,00 €;34;162
Rafaelita Blaksland;India;Raspberry Choco;12/02/2021;6 412,00 €;126;199
Madelene Upcott;India;Mint Chip Choco;12/02/2021;3 570,00 €;78;208
Barr Faughny;New Zealand;Peanut Butter Cubes;12/02/2021;7 644,00 €;65;139
Gunar Cockshoot;UK;Mint Chip Choco;12/02/2021;14 882,00 €;134;144
Karlen McCaffrey;USA;Mint Chip Choco;12/02/2021;483,00 €;87;215
Kaine Padly;Australia;Choco Coated Almonds;12/02/2021;5 698,00 €;209;109
Curtice Advani;Australia;White Choc;12/02/2021;308,00 €;77;63
Beverie Moffet;UK;Mint Chip Choco;12/02/2021;5 523,00 €;31;497
Andria Kimpton;Australia;Manuka Honey Choco;12/02/2021;7 357,00 €;179;294
Gigi Bohling;India;Orange Choco;12/02/2021;2 968,00 €;1;292
Madelene Upcott;Australia;50% Dark Bites;12/02/2021;3 640,00 €;42;535
Dotty Strutley;Canada;Fruit & Nut Bars;12/02/2021;3 486,00 €;133;495
Barr Faughny;UK;99% Dark & Pure;12/02/2021;5 264,00 €;46;168
Marney O'Breen;UK;Orange Choco;12/02/2021;1 995,00 €;115;127
Gunar Cockshoot;India;Raspberry Choco;12/02/2021;84,00 €;516;63
Barr Faughny;India;99% Dark & Pure;12/02/2021;7 168,00 €;259;212
Madelene Upcott;UK;White Choc;12/02/2021;10 563,00 €;185;36
Kaine Padly;New Zealand;Mint Chip Choco;12/02/2021;175,00 €;341;17
Kelci Walkden;India;Raspberry Choco;12/02/2021;5 628,00 €;156;337
Gigi Bohling;USA;50% Dark Bites;12/02/2021;2 023,00 €;6;99
Curtice Advani;USA;Mint Chip Choco;12/02/2021;3 248,00 €;28;73
Dotty Strutley;UK;Spicy Special Slims;12/02/2021;924,00 €;41;93
Andria Kimpton;Australia;Fruit & Nut Bars;15/02/2021;4 886,00 €;36;23
Beverie Moffet;Australia;85% Dark Bars;15/02/2021;2 114,00 €;70;405
Kelci Walkden;USA;Smooth Sliky Salty;15/02/2021;2 569,00 €;43;242
Ches Bonnell;New Zealand;Manuka Honey Choco;15/02/2021;7 896,00 €;197;189
Curtice Advani;India;Raspberry Choco;15/02/2021;6 825,00 €;1;321
Husein Augar;Canada;Milk Bars;15/02/2021;8 890,00 €;28;38
Beverie Moffet;Canada;70% Dark Bites;15/02/2021;3 829,00 €;149;471
Brien Boise;Canada;Raspberry Choco;15/02/2021;9 366,00 €;62;165
Gigi Bohling;Australia;Almond Choco;15/02/2021;2 044,00 €;38;156
Gigi Bohling;UK;Orange Choco;15/02/2021;973,00 €;249;389
Marney O'Breen;Australia;Caramel Stuffed Bars;15/02/2021;4 473,00 €;194;12
Dotty Strutley;USA;99% Dark & Pure;15/02/2021;2 646,00 €;128;413
Brien Boise;USA;Manuka Honey Choco;15/02/2021;6 776,00 €;100;64
Curtice Advani;New Zealand;Spicy Special Slims;15/02/2021;9 002,00 €;238;14
Beverie Moffet;Canada;Smooth Sliky Salty;15/02/2021;1 274,00 €;193;481
Dennison Crosswaite;USA;Caramel Stuffed Bars;15/02/2021;3 899,00 €;78;410
Kelci Walkden;USA;Organic Choco Syrup;15/02/2021;4 641,00 €;188;155
Karlen McCaffrey;India;Drinking Coco;15/02/2021;2 555,00 €;108;366
Kelci Walkden;Australia;70% Dark Bites;15/02/2021;609,00 €;89;272
